user	shortcode	posttype	imgname	randomid
everydayclimatechange	B4nTqD5F-Zf	GraphImage	2019-11-08_18-16-28_UTC.jpg	115
nasaclimatechange	1i4nbQOXer	GraphVideo	2015-04-16_17-59-48_UTC.jpg	116
cnnclimate	B2pR1s2JpLK	GraphSidecar	2019-09-20_19-36-16_UTC_2.jpg	117
climatesavemovement	BzTxOpBJ1nL	GraphSidecar	2019-06-29_21-33-05_UTC_1.jpg	118
thisiszerohour	BurESydH5ER	GraphSidecar	2019-03-06_16-05-14_UTC_1.jpg	119
thisiszerohour	BqNg0Z9ni-c	GraphSidecar	2018-11-15_18-31-42_UTC_1.jpg	120
climatesavemovement	BuwDjXkA5as	GraphImage	2019-03-08_14-34-58_UTC.jpg	121
everydayclimatechange	_6MdcIBELh	GraphImage	2015-12-30_08-29-41_UTC.jpg	122
climemechange	B68W5xrnDQ_	GraphImage	2020-01-05_15-31-40_UTC.jpg	123
everydayclimatechange	B1l6wItFp65	GraphImage	2019-08-25_15-45-25_UTC.jpg	124
thisiszerohour	BgZOHYMAHtg	GraphImage	2018-03-16_18-25-13_UTC.jpg	125
everydayclimatechange	6BNvjyBEEr	GraphImage	2015-08-05_22-47-13_UTC.jpg	126
everydayclimatechange	Bzu8zHLF2QF	GraphImage	2019-07-10_10-53-41_UTC.jpg	127
climatesavemovement	BLNJwAEgwYR	GraphImage	2016-10-06_02-56-54_UTC.jpg	128
noaaclimate	1glfUzq3lH	GraphImage	2015-04-15_20-34-12_UTC.jpg	129
climatesavemovement	Bsgb3B6Ahlg	GraphSidecar	2019-01-11_19-56-44_UTC_6.jpg	130
thisiszerohour	BouIRz8hjEy	GraphImage	2018-10-09_17-29-25_UTC.jpg	131
climatesavemovement	B7L3DkclEY3	GraphImage	2020-01-11_16-02-01_UTC.jpg	132
climate.change.communication	BwfRDM0Hzfs	GraphSidecar	2019-04-20_19-08-36_UTC_2.jpg	133
climatesavemovement	BtmN6a7g5dd	GraphSidecar	2019-02-07_22-21-42_UTC_3.jpg	134
cnnclimate	B2AJzOvJNSy	GraphSidecar	2019-09-04_20-17-10_UTC_2.jpg	135
thisiszerohour	Bz0c9zMnsgu	GraphSidecar	2019-07-12_14-10-58_UTC_1.jpg	136
thisiszerohour	B04Brt0Hdck	GraphVideo	2019-08-07_20-02-28_UTC.jpg	137
